Borough,Grade,Category,Year,# Total Days,# Days Absent,# Days Present,% Attendance,# Contributing 10+ Total Days and 1+ Pres Day,# Chronically Absent,% Chronically Absent
Bronx,10,All Students,2016-17,2417297,377652,2039645,84.4,15629,6669,42.7
Bronx,10,All Students,2017-18,2354572,380220,1974352,83.9,15159,6777,44.7
Bronx,10,All Students,2018-19,2302004,351502,1950502,84.7,14584,6214,42.6
Bronx,10,All Students,2019-20,1461590,202506,1259084,86.1,13764,5441,39.5
Bronx,10,All Students,2020-21,2339500,389773,1949727,83.3,13858,6028,43.5
Brooklyn,10,All Students,2016-17,3606048,455450,3150598,87.4,22978,7435,32.4
Brooklyn,10,All Students,2017-18,3580148,460449,3119699,87.1,22713,7747,34.1
Brooklyn,10,All Students,2018-19,3568240,451552,3116688,87.3,22290,7405,33.2
Brooklyn,10,All Students,2019-20,2377622,284962,2092660,88,22111,7013,31.7
Brooklyn,10,All Students,2020-21,3799740,649405,3150335,82.9,22299,8813,39.5
Manhattan,10,All Students,2016-17,2577070,300419,2276651,88.3,16539,5211,31.5
Manhattan,10,All Students,2017-18,2621144,313388,2307756,88,16764,5411,32.3
Manhattan,10,All Students,2018-19,2575153,288993,2286160,88.8,16211,5097,31.4
Manhattan,10,All Students,2019-20,1683917,188649,1495268,88.8,15772,4877,30.9
Manhattan,10,All Students,2020-21,2655637,420888,2234749,84.2,15761,6013,38.2
Queens,10,All Students,2016-17,3315856,336205,2979651,89.9,21151,5673,26.8
Queens,10,All Students,2017-18,3295842,347609,2948233,89.5,20877,5869,28.1
Queens,10,All Students,2018-19,3333032,345180,2987852,89.6,20760,5661,27.3
Queens,10,All Students,2019-20,2185451,211893,1973558,90.3,20348,5427,26.7
Queens,10,All Students,2020-21,3448117,435334,3012783,87.4,20232,6120,30.2
Staten Island,10,All Students,2016-17,766422,81760,684662,89.3,4878,1409,28.9
Staten Island,10,All Students,2017-18,806327,86205,720122,89.3,5102,1416,27.8
Staten Island,10,All Students,2018-19,813241,82791,730450,89.8,5074,1353,26.7
Staten Island,10,All Students,2019-20,525292,49529,475763,90.6,4901,1263,25.8
Staten Island,10,All Students,2020-21,833405,127756,705649,84.7,4866,1645,33.8
Bronx,11,All Students,2016-17,1992416,280120,1712296,85.9,12747,5232,41
Bronx,11,All Students,2017-18,2012960,273464,1739496,86.4,12781,5155,40.3
Bronx,11,All Students,2018-19,1964561,261936,1702625,86.7,12228,4914,40.2
Bronx,11,All Students,2019-20,1276442,159873,1116569,87.5,11872,4531,38.2
Bronx,11,All Students,2020-21,2026322,294397,1731925,85.5,11912,4605,38.7
Brooklyn,11,All Students,2016-17,3073063,332735,2740328,89.2,19386,5757,29.7
Brooklyn,11,All Students,2017-18,2987886,327740,2660146,89,18669,5680,30.4
Brooklyn,11,All Students,2018-19,3059254,339648,2719606,88.9,18841,5843,31
Brooklyn,11,All Students,2019-20,2006198,210013,1796185,89.5,18495,5440,29.4
Brooklyn,11,All Students,2020-21,3288174,453625,2834549,86.2,19164,6564,34.3
Manhattan,11,All Students,2016-17,2335628,258102,2077526,88.9,14792,4562,30.8
Manhattan,11,All Students,2017-18,2318078,264831,2053247,88.6,14607,4668,32
Manhattan,11,All Students,2018-19,2386281,259904,2126377,89.1,14732,4493,30.5
Manhattan,11,All Students,2019-20,1519857,159703,1360154,89.5,14080,4159,29.5
Manhattan,11,All Students,2020-21,2395524,342262,2053262,85.7,14083,5089,36.1
Queens,11,All Students,2016-17,3009725,264370,2745355,91.2,18876,4588,24.3
Queens,11,All Students,2017-18,2960999,278385,2682614,90.6,18534,4863,26.2
Queens,11,All Students,2018-19,2931337,264422,2666915,91,18009,4541,25.2
Queens,11,All Students,2019-20,1930077,163669,1766408,91.5,17804,4166,23.4
Queens,11,All Students,2020-21,3091864,315274,2776590,89.8,17963,4687,26.1
Staten Island,11,All Students,2016-17,690787,58969,631818,91.5,4323,1023,23.7
Staten Island,11,All Students,2017-18,697821,64286,633535,90.8,4340,1030,23.7
Staten Island,11,All Students,2018-19,758285,64743,693542,91.5,4644,1015,21.9
Staten Island,11,All Students,2019-20,488724,40298,448426,91.8,4502,947,21
Staten Island,11,All Students,2020-21,786198,104550,681648,86.7,4581,1398,30.5
Bronx,12,All Students,2016-17,2031101,342587,1688514,83.1,12934,6555,50.7
Bronx,12,All Students,2017-18,2046733,344094,1702639,83.2,12909,6642,51.5
Bronx,12,All Students,2018-19,2062740,327600,1735140,84.1,12833,6477,50.5
Bronx,12,All Students,2019-20,1364315,202135,1162180,85.2,12591,5812,46.2
