Grade,Category,Year,# Total Days,# Days Absent,# Days Present,% Attendance,# Contributing 10+ Total Days and 1+ Pres Day,# Chronically Absent,% Chronically Absent
All Grades,All Students,2018-19,30887,2278,28609,92.6,192,47,24.5
All Grades,All Students,2019-20,21101,1500,19601,92.9,204,58,28.4
All Grades,All Students,2020-21,32686,3931,28755,88.0,199,84,42.2
All Grades,All Students,2021-22,31663,4751,26912,85.0,190,113,59.5
All Grades,All Students,2022-23,32663,4159,28504,87.3,206,104,50.5
PK in K-12 Schools,All Students,2018-19,2104,245,1859,88.4,15,7,46.7
PK in K-12 Schools,All Students,2019-20,1490,198,1292,86.7,15,10,66.7
PK in K-12 Schools,All Students,2020-21,2830,467,2363,83.5,18,10,55.6
PK in K-12 Schools,All Students,2021-22,2812,598,2214,78.7,18,12,66.7
PK in K-12 Schools,All Students,2022-23,2136,336,1800,84.3,13,10,76.9
0K,All Students,2018-19,3491,283,3208,91.9,22,6,27.3
0K,All Students,2019-20,3091,288,2803,90.7,30,15,50.0
0K,All Students,2020-21,4685,766,3919,83.6,29,15,51.7
0K,All Students,2021-22,5371,821,4550,84.7,32,22,68.8
0K,All Students,2022-23,6224,887,5337,85.7,37,16,43.2
1,All Students,2018-19,5857,543,5314,90.7,35,10,28.6
1,All Students,2019-20,2871,218,2653,92.4,28,9,32.1
1,All Students,2020-21,5012,735,4277,85.3,32,17,53.1
1,All Students,2021-22,4489,595,3894,86.7,26,12,46.2
1,All Students,2022-23,5353,741,4612,86.2,34,21,61.8
2,All Students,2018-19,5455,328,5127,94.0,34,4,11.8
2,All Students,2019-20,4274,260,4014,93.9,42,7,16.7
2,All Students,2020-21,4512,697,3815,84.6,27,14,51.9
2,All Students,2021-22,4356,596,3760,86.3,27,16,59.3
2,All Students,2022-23,4322,474,3848,89.0,28,11,39.3
3,All Students,2018-19,5278,299,4979,94.3,33,5,15.2
3,All Students,2019-20,3862,238,3624,93.8,37,8,21.6
3,All Students,2020-21,5277,391,4886,92.6,32,8,25.0
3,All Students,2021-22,3898,588,3310,84.9,23,15,65.2
3,All Students,2022-23,5095,552,4543,89.2,33,14,42.4
4,All Students,2018-19,3536,207,3329,94.1,23,5,21.7
4,All Students,2019-20,3304,193,3111,94.2,32,7,21.9
4,All Students,2020-21,5413,540,4873,90.0,32,13,40.6
4,All Students,2021-22,5711,819,4892,85.7,34,19,55.9
4,All Students,2022-23,3480,460,3020,86.8,25,16,64.0
5,All Students,2018-19,5166,373,4793,92.8,30,10,33.3
5,All Students,2019-20,2209,105,2104,95.2,20,2,10.0
5,All Students,2020-21,4957,335,4622,93.2,29,7,24.1
5,All Students,2021-22,5026,734,4292,85.4,30,17,56.7
5,All Students,2022-23,6053,709,5344,88.3,36,16,44.4
All Grades,All Students,2018-19,44723,3979,40744,91.1,265,87,32.8
All Grades,All Students,2019-20,27491,2242,25249,91.8,250,72,28.8
All Grades,All Students,2020-21,36681,2523,34158,93.1,213,50,23.5
All Grades,All Students,2021-22,31722,3843,27879,87.9,189,99,52.4
PK in K-12 Schools,All Students,2018-19,1855,202,1653,89.1,11,4,36.4
PK in K-12 Schools,All Students,2019-20,1922,198,1724,89.7,18,9,50.0
PK in K-12 Schools,All Students,2020-21,2269,172,2097,92.4,13,6,46.2
PK in K-12 Schools,All Students,2021-22,3001,392,2609,86.9,18,11,61.1
0K,All Students,2018-19,5205,476,4729,90.9,31,7,22.6
0K,All Students,2019-20,2983,260,2723,91.3,28,8,28.6
0K,All Students,2020-21,4019,277,3742,93.1,23,5,21.7
0K,All Students,2021-22,3896,455,3441,88.3,24,11,45.8
1,All Students,2018-19,6864,650,6214,90.5,41,15,36.6
1,All Students,2019-20,3140,210,2930,93.3,29,5,17.2
1,All Students,2020-21,4174,369,3805,91.2,25,10,40.0
1,All Students,2021-22,3098,402,2696,87.0,20,11,55.0
2,All Students,2018-19,7972,676,7296,91.5,49,13,26.5
2,All Students,2019-20,4508,437,4071,90.3,41,13,31.7
2,All Students,2020-21,4550,211,4339,95.4,26,3,11.5
2,All Students,2021-22,3894,499,3395,87.2,22,12,54.5
3,All Students,2018-19,7297,620,6677,91.5,42,14,33.3
3,All Students,2019-20,5141,433,4708,91.6,46,14,30.4
3,All Students,2020-21,6650,579,6071,91.3,38,10,26.3
3,All Students,2021-22,4349,518,3831,88.1,26,13,50.0
4,All Students,2018-19,7767,772,6995,90.1,44,21,47.7
4,All Students,2019-20,4845,286,4559,94.1,43,8,18.6
