Borough,Grade,Category,Year,# Total Days,# Days Absent,# Days Present,% Attendance,# Contributing 10+ Total Days and 1+ Pres Day,# Chronically Absent,% Chronically Absent
Bronx,9,All Students,2016-17,2457812,393491,2048170,83.0,16073,6698,44.2
Bronx,9,Asian,2016-17,163278,4460,120388,91.6,786,70,28.9
Bronx,9,Black,2016-17,653201,99155,501435,83.7,3995,1713,43.0
Bronx,9,ELL,2016-17,539763,72537,355657,82.6,2908,1259,45.6
Bronx,9,Female,2016-17,1111506,163609,939548,84.1,7259,2852,42.0
Bronx,9,Hispanic,2016-17,1478065,252347,1181255,82.6,9401,4280,45.3
Bronx,9,Male,2016-17,1346300,228269,1111302,82.7,8826,3759,43.8
Bronx,9,Not ELL,2016-17,1918049,301034,1550534,82.8,12062,4820,45.1
Bronx,9,Not Poverty,2016-17,446633,55312,378167,83.6,2852,860,37.5
Bronx,9,Not SWD,2016-17,1784539,220171,1404242,85.2,10685,3832,39.5
Bronx,9,Other,2016-17,37418,481,7015,91.9,48,7,19.4
Bronx,9,Poverty,2016-17,2011179,285647,1374754,82.7,10881,4746,45.1
Bronx,9,SWD,2016-17,673273,143261,488560,77.7,4113,2343,56.6
Bronx,9,White,2016-17,125850,8183,83911,85.0,586,123,36.9
Bronx,9,All Students,2017-18,2445742,388493,2053062,83.5,16037,6643,43.1
Bronx,9,Asian,2017-18,171017,5340,128450,91.4,832,84,22.0
Bronx,9,Black,2017-18,645963,101914,508198,84.0,4048,1655,39.2
Bronx,9,ELL,2017-18,520547,73982,343792,81.4,2834,1259,48.1
Bronx,9,Female,2017-18,1093279,158053,931049,84.4,7183,2803,41.3
Bronx,9,Hispanic,2017-18,1470979,251444,1216472,82.6,9662,4379,46.0
Bronx,9,Male,2017-18,1352463,228171,1111268,82.7,8772,3792,43.8
Bronx,9,Not ELL,2017-18,1925195,290934,1538967,83.5,11904,4626,42.6
Bronx,9,Not Poverty,2017-18,345019,29623,299039,87.5,2134,499,31.4
Bronx,9,Not SWD,2017-18,1777875,221421,1462462,85.7,11010,3902,38.3
Bronx,9,Other,2017-18,37209,433,6150,88.2,43,4,33.4
